Post,Link,Posting Date,Image,Reactions,Comments,Shares
,https://web.facebook.com//notes/axa-philippines/axa-covid-19-advisories/10157063051028148/?__xts__%5B0%5D=68.ARCwIphr8rpxmtFBjoGgvelwOUKG1-MgkJQOz5o8xjQ2rn5o8smr37urXg2O4ZDNOLYbz4JnMlrUSPvog6Ls-IVUFAaLDLyBeEwbz0oUCucFXJVT9Hv8xrVdJBekD3zY1KfWRXOJzKWC5gxEOujWlhOUnI9lWonF38Vcj6rTB_zDQ-NurxibFqGF2jeQYsWXq94rcdUYnT33rJJ9pSyX11oh8IdsDgssJrVCpIX1QJNcHAbVNf0zt_DQvn5UdPuYnKlr1LALC6JZNMskOGd1xHQeSjpUaA9Azw2GHpeOAQJEg7gGfY_qwJvU_9r3dozxE0vD7jQN6-fflRxM0lo&__tn__=-R,2020-03-24 12:30:52,,"{'Total': '342', 'Like': '295', 'Love': '44', 'Wow': '3'}","{'Ricky Suarez': {'text': ""Dear AXA,I just realized that I'm losing 440k from my investment! Since your myaxa was down for the past week, it's only now that I had access. During the stock free fall, you were too pre-occupied with the covid-19 neglecting your single-pay  invest…See More"", 'post_date': '1585478968'}, 'Nita Carreon Oevretveit': {'text': 'I can no longer send an epost to my agent. Why? I wonder if there is something wrong going on with our investments.', 'post_date': '1585138509'}, 'Eleese De Quen': {'text': ""If worldwide many policy holder died,  a big budget of AXA needed to be released for their policy holder. For me, I don't care of my AXA insurance all I need is I am still alive."", 'post_date': '1585063189'}, 'Joan Espina': {'text': 'Can’t access my accnt.', 'post_date': '1585057034'}, 'Mikay Jean': {'text': 'Included ADA for retire smart 2030?', 'post_date': '1585054997'}, 'Angelica Magtibay': {'text': 'Hello why cant i still get into my account? It keep saying i am not registered but im a member since april 2018 🤦🏼\u200d♀️😭', 'post_date': '1585191070'}, 'Chen Reyes Pascua': {'text': 'Thank you..but does auto debit from BDO included???', 'post_date': '1585055530'}, 'Leesh Vertudazo Cortes-Estrella': {'text': 'Hi axa, is the extension of policy payment also applicable here in Visayas?  Thanks!', 'post_date': '1585643188'}, 'Regor Atsitaub Retnemerg': {'text': 'My due date is on march 28, 2020. I still have 60days grace period. That would be on may28. Am i correct?', 'post_date': '1585053939'}, 'James Jemenez': {'text': 'Thank you', 'post_date': '1585053114'}, 'Gina Gajelloma Elopre': {'text': '🙏🙏🙏', 'post_date': '1585057924'}, 'Roth Schneider': {'text': ""I thought life was so hard, But when I found out about binary, life became easy. Binary option trading is reliable when you invest with the right account manager like Mr Johnny Godfrey he's legit and reliable. I invested with him and got my withdrawal in just 7days. Mr Johnny Godfrey is 100% reliable. If you're interested you can contact him onhttps://www.facebook.com/Johnny.Godfrey.0"", 'post_date': '1585977116'}, 'Che Reyes': {'text': 'Can’t access my account po!', 'post_date': '1585181801'}}",235
Got a question about your health insurance coverage in relation to COVID-19? We have compiled the commonly asked questions. Stay safe and informed! Learn more here: bit.ly/3aKJTiY,https://web.facebook.com//AXA.Philippines/photos/a.422772563147/10157106400398148/?type=3&__xts__%5B0%5D=68.ARCtI65lsoMMg4wxWV_ul-TNiSSEYq6zTaMMH9PVoXONvGR410LGQpFN1DeglBA6dN97NvUr74SaxIwSrxc5P2HvaepkTOCxhAHUVYl3Uamo4sm5mZlQzajMDkbZrQD1Nx3Is0lh0_OC7jhG5zmVsCPMXpRHHVHIK3Vx9_-2_k0MlJYSTPr3hxOMyAylf5CDN_f8-zrMymOZNod6mH0ED34LtKrIbwDXayLByUdGmeGgizEsUbEGieg5Hn5nRQvnPP3afky_BUE2fgGcovR0ucPZrb0LNApyXKYWo4IL5R5r3-2cF0VnhQVQDQn7dF9bdr5-2gnCvga5iAkQFx0R&__tn__=-R,2020-04-06 08:30:00,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/92024439_10157106400408148_6401532807750877184_o.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_eui2=AeGxeq0cIcgedZZMoFoFKkx5PodcjVramyg-h1yNWtqbKMY0jD-DSpEmqLdasZGvUdP-Ub1WXXZCb1EnICC2XOeX&_nc_ohc=zV6UXWFq5VMAX9n5Y7a&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=7&oh=4734194cd7f3d2b08bf4703aca5f8a7f&oe=5EB0A386,"{'Total': '134', 'Like': '119', 'Love': '15'}","{'Flo Maguisa': {'text': 'Thanks for the update!', 'post_date': '1586164033'}, 'Mhell Alngig': {'text': 'Wow', 'post_date': '1586186094'}, '劉已燦': {'post_date': '1586201233'}, 'Cess Villanueva': {'text': 'Got health insurance when I was 21 years old. Never regret to have one. In these times, we need to prepare for the unexpected events. One step to financial security 😉', 'post_date': '1586188602'}}",66
,https://web.facebook.com//AXA.Philippines/posts/10157106333653148?__xts__%5B0%5D=68.ARAskMxApH2c_1JPxWeu7mAcOqnommkGhXoo7TzFu0DMG4vdrCRmdMxqX52D-KOm5tb2Ef-vde6B8Rpqg6GPNwG0IxguHy9h_Q1FE1HV1ykDH1k3Mtyejiu7xkx8bnDXaL-OoD8n6jwc8kvZNYt8evlsQtFNO7NnPwEh7YtGn0VLoRy7EZ5j-tXGfoWPaNEz-9yAmsMlBouJtjmNd6pnEyjZxV9tll_I26qWvFJXtpcDScCYrcLwFLWaaJdPqupYwlu_2E_kEoYCu44fGm1T8vpWQYpQI410xEaai_WmEcskV_IdAhHqHV5Q2utTj1PfOpMA6yChNX3nNOlubTqk&__tn__=-R,2020-04-06 07:20:56,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-0/c147.0.597.313a/s526x296/74493645_10156708003258148_441169823645302784_n.png?_nc_cat=101&_nc_sid=dd9801&_nc_eui2=AeEszggcY_0Ol7PMY29kyGqwwcCGQgga3hrBwIZCCBreGlj5KS8I3rznO6y-ZTvsOCqHvI1FGUMP-xRNu4FRGPPl&_nc_ohc=9Fs1dYUlGH0AX_mURIj&_nc_ht=scontent.fmnl5-1.fna&oh=cbab320a80e3945f5799216c483f9df6&oe=5EB27A42,"{'Total': '44', 'Like': '42', 'Love': '2'}",{},
"The Philippine stock market, like the rest of the world, was affected by the COVID-19 pandemic. If you're worried about your investment, here's what you can do.  This applies to variable unit-linked (VUL) policies such as aXelerator, life basiX, Asset Master, Retire Smart, etc. For a more detailed discussion, contact your financial partner. Keep calm and stay safe!",https://web.facebook.com//AXA.Philippines/posts/10157097368788148?__xts__%5B0%5D=68.ARAgTcmheXDt6fh6yTCaYbpGrMJlU2tR3IJgcIK1tLAIH3g_ikra8gWvO3u3BkBUyRSnWEWea1GOOoj_a2wxlXp7uSCNliNERwl3i5nWUUVhyGXdjHPpJbuTrHoccY4-KG_Fpjikl23K_lHPTEjibIfFRSjNVZQ5gLNR7r6n190wXugSHkHYuz_PoR-z_1CHwQ3uzR52kNdL-M8LPQRdUCQk9ptZjdX8VZDbFtbh2tamVC-t9fzTxxREYTTxL-jrbqL2tS4TiVJ-z9kh7SpUl3RuAseoqr1hxd77fhXR7JaU7_I5TL3LMKi2JLOmEwL6KWLlQgZJwz2LqqonRdJD&__tn__=-R,2020-04-03 12:16:00,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-0/p235x350/92217375_10157097486383148_258519360061046784_n.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_eui2=AeGX0aVkfX8zieJTXiGR9MxfmlvKjuVZYk-aW8qO5VliT9QVIHfQvAcZZx88iA6m7SU96j7TB3tfHNm0pfgYTyUX&_nc_ohc=liN8hAfFCe8AX88oqD6&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=6&oh=bbd7bba7d1224de71b3e6b0089f9bdc0&oe=5EB22739,"{'Total': '485', 'Like': '393', 'Love': '81', 'Sad': '7'}","{'Erik Jan Lape Apartado': {'text': ""I'm still keeping my 6 policies. :) after all in this time na we can be infected anytime, protection is what matters most."", 'post_date': '1586214628'}, 'Razel Kathrine Rufino': {'text': 'My advisor’s ignoring me,. Didn’t bother to explain.', 'post_date': '1586163109'}, 'Lyz Esma': {'text': ""can't connect my agent ..axelerator  policies"", 'post_date': '1585917658'}, 'Jessica Dela Torre': {'text': 'Mgsilabasan kyu mga fa asikasuhin nyu mga cliente nyu,Anu ngttgo n kyu sa palda ng nanay nyu ks bgsak n Ang market,Ang galing NYU lng s una', 'post_date': '1585951729'}, 'Azon D. Ostonal': {'text': 'Stay calm stay safe..Sana maayos din ang lahat after crisis pray lang po tayo. Keep safe everyone!', 'post_date': '1585968567'}, 'Leynes Fernando': {'text': 'Pls update and call me on my investment.ty', 'post_date': '1586135084'}, 'Flo Maguisa': {'text': 'Stay safe. 😊', 'post_date': '1586088071'}, 'Neth Sison': {'text': 'Naku kawawa mga nabiktima nyan AXA n yn', 'post_date': '1585917271'}, 'Marites F. Cagungun': {'text': '🙏🏻🙏🏻🙏🏻 maging maayos lahat.', 'post_date': '1585926168'}, 'Via Viacrucis Gonzales': {'text': '😪', 'post_date': '1585916920'}, 'JC Cabañes': {'text': '😔😔😔', 'post_date': '1585920166'}, 'Austin Go': {'text': '😉', 'post_date': '1585999830'}, 'Dahil Quio Japin': {'text': 'Wag kaung matakot makukuha nyo rin ung pera nyo ....', 'post_date': '1585972795'}, 'Arnel Castillon': {'text': 'ask ko lang bakit nag bawas kayo ngayon insurance policy ko two months pa kinuha nyo eh crisis ngayon bakit?', 'post_date': '1586159316'}, 'Amie Baranda': {'text': 'Gusto ko po withdraw ung pera ko ng may magamit po kami .', 'post_date': '1586213668'}, 'Des Brecia Basco Ballesteros': {'text': 'Yong pera namin palaguin nyo..kung di nyo kaya ibalik sa amin..', 'post_date': '1585921274'}, 'Roth Schneider': {'text': ""I thought life was so hard, But when I found out about binary, life became easy. Binary option trading is reliable when you invest with the right account manager like Mr Johnny Godfrey he's legit and reliable. I invested with him and got my withdrawal in just 7days. Mr Johnny Godfrey is 100% reliable. If you're interested you can contact him onhttps://www.facebook.com/Johnny.Godfrey.0"", 'post_date': '1585977141'}, 'Chio Chen': {'text': 'D n nga macontact ang FA nio d p nmin mkita ngyayari sa policy nmin.', 'post_date': '1585989466'}, 'Renbert Bayo': {'text': 'Ano maganda policy para kay mama??', 'post_date': '1585937672'}}",626
It's Friday! Do this one-minute breathing exercise to reduce your stress. Watch the video below for a quick guide.,https://web.facebook.com//AXA.Philippines/videos/219616746046052/?__xts__%5B0%5D=68.ARBDPtNBTSIl-My-SUGoAfWDf70CnGBMwXbAgOCkvRDnPgd1R2nqFGC0h7ozg1aYa41vUQP6VtQ9NrVEGuFqILepIOPT2yNbX-yjje_sFN4sjPL82FznYrVqmlFUtHxbzle2cNBcctMseo3jqFr32ihmyg-LROLujYaBZouMql71L-6u4BtbUPG8YhhWrAS_u7mJAm0RiAXnnYhONXPQFv3fCarb6hnWAYk0A01kVfn_EtnqKN_dga1hHQaQtCJJtFavXm5c6BGjyDL_9Hfr8iKeixpdbOSBH1mUTup7xQMWG5TlR8FmFGTFhQEK9t1rfZe2UcwO3D_r7GTtCvksYD1ubzpV08-F&__tn__=-R,2020-04-03 05:30:00,,"{'Total': '163', 'Like': '128', 'Love': '33', 'Haha': '1'}","{'Geng Ferdie Padua': {'text': 'Im feeling good.', 'post_date': '1585906808'}, 'Roth Schneider': {'text': ""I thought life was so hard, But when I found out about binary, life became easy. Binary option trading is reliable when you invest with the right account manager like Mr Johnny Godfrey he's legit and reliable. I invested with him and got my withdrawal in just 7days. Mr Johnny Godfrey is 100% reliable. If you're interested you can contact him onhttps://www.facebook.com/Johnny.Godfrey.0"", 'post_date': '1585977148'}}",141
"When you feel alone, don’t be afraid to reach out to your family or your friends. You may also want to contact these support groups who can help you: Mental Health Support Group by Kylie Versoza: https://www.facebook.com/groups/MHSupportGroupbyKylie  Depression & Anxiety Care Philippines: https://www.facebook.com/groups/571300533213786/  Psychoeduc8 Philippines: https://www.facebook.com/groups/psychoeduc8/  Schizophrenia and Bipolar Philippines: https://www.facebook.com/groups/282482295107313/  Anxiety and Depression Support Philippines: https://www.facebook.com/ADSPpage/",https://web.facebook.com//AXA.Philippines/photos/a.422772563147/10157094192008148/?type=3&__xts__%5B0%5D=68.ARBIZQPW-j4YNLrxN1ws7iM3p4GJL0vnGBnf0tOLPY4ZI6CEDtyDeVR2_1GAF2WfEBkWH-mXSPkSajKjqDed7aM7zdpO5YMpO6WDLXD7Muk9wrk4bMQGc979vIWReIPbt2H6MeV2dBSM_gJJPSjZ0NZ4b0kOm7_JFW_k4WOtC4GOj2vhcG2o8HRCIyiFXzez6_zT5ECTfDk7ne5Givj3hV63u9OlX1SMF8-PkH2DClj9FwbQLuuDd7jQuYbHk_29g5hGgCfBEDjyK3fvE0YWvmwST9OJufn_kwougEpTR4KlPyVyq8V28pWwD4LM3qDYcDqzGudldqx90PTFHuLe&__tn__=-R,2020-04-02 12:31:00,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/92460330_10157094192018148_2452403141782536192_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_eui2=AeFVDkq5hpNpixLYFc4cQO6d65YynUAo1n3rljKdQCjWfRboPWR9uHFE2DZ_1FLzzQ9jR5djKUl9jokbbaRNGiby&_nc_ohc=nUPx267ojC4AX_utDe7&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=7&oh=84308bf2ac6b483ade96e27320148934&oe=5EB1FBE5,"{'Total': '254', 'Like': '205', 'Love': '47', 'Haha': '2'}","{'Misty Tac-an': {'text': 'Can I copy my axa family?  :)', 'post_date': '1586100490'}, 'Nheri Lacson Barrun': {'text': '😍👍', 'post_date': '1585833966'}, 'Roth Schneider': {'text': ""I thought life was so hard, But when I found out about binary, life became easy. Binary option trading is reliable when you invest with the right account manager like Mr Johnny Godfrey he's legit and reliable. I invested with him and got my withdrawal in just 7days. Mr Johnny Godfrey is 100% reliable. If you're interested you can contact him onhttps://www.facebook.com/Johnny.Godfrey.0"", 'post_date': '1585977153'}}",150
"During this quarantine period, you may be experiencing higher anxiety. Take care of your mental health with these helpful tips. Always check your health status by taking AXA’s Health Risk Score here https://www.axa.com.ph/healthriskscore.",https://web.facebook.com//AXA.Philippines/posts/10157090906613148?__xts__%5B0%5D=68.ARDHt-tE6QINr8xWgpPI2yCHBExdhVFJGzVmuZFRcsbfqbMtH1eBCF4dGzve_WZu1dQ7ThbXPLNf1rpQ3TcrOH_bOJdNHmWuffetvCOC12TIAJXrhXmuVn7G-WKHKxolcuYNo3Sy6bYmZjdKbXCH970VKQOK3-nANFi2ztp98KIZfQ421YepnLKj5vJbmOK4M_6Wg_-eyu8VuDiZ4obZ0TE2CTc4ktVEVaOIEidLjtQQL6k7-qECTRx0Vb1H7RXB-UQwg1suSSXWWDWtxJP43bSaZciHPrjF-WntaxeiJuJPy11BMNux7v3eqxi3Fw3EHFk18YWRhgtT0j1N096n&__tn__=-R,2020-04-01 10:59:29,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-0/p526x296/92200770_10157090897423148_7146744938238050304_o.png?_nc_cat=109&_nc_sid=8024bb&_nc_eui2=AeEdeu0WdDcKZsVx5p907Z5f-OrLLVXbQFP46sstVdtAU9mHDG8JLLva11M1twsUY3UWdN3eUgEYZzXdFnQqTXQw&_nc_ohc=dkqMLyn3cuMAX8m5OGF&_nc_ht=scontent.fmnl5-1.fna&oh=e98bff98482d75d089cc0e71d7cef501&oe=5EB136B6,"{'Total': '258', 'Like': '198', 'Love': '56', 'Angry': '3'}","{'Roth Schneider': {'text': ""I thought life was so hard, But when I found out about binary, life became easy. Binary option trading is reliable when you invest with the right account manager like Mr Johnny Godfrey he's legit and reliable. I invested with him and got my withdrawal in just 7days. Mr Johnny Godfrey is 100% reliable. If you're interested you can contact him onhttps://www.facebook.com/Johnny.Godfrey.0"", 'post_date': '1585977164'}}",322
"Get free 24/7 access to emergency services such as medical, roadside, fire or police assistance anytime, anywhere with AXA Rescue Line. Get Rescue Line through the Emma by AXA app here: bit.ly/emmaaxa",https://web.facebook.com//AXA.Philippines/photos/a.422772563147/10157090611958148/?type=3&__xts__%5B0%5D=68.ARA6qrp7voWIdTiqE7I4uPO196P3fVTx7oFDTUuDcthMZvENz7tcGkFBXSdSDt2NtVkuPuj-53qPGkfxnJs1dD9f9uKvb_vmGcBF_YW9x4w3gXZwIvgZs1FjzWvqsIX0uk_MAfhU7xsO_tQ5z3AAd0TcuFvhWekTum5PoH6myU1tj-PVUWoXNKhpMeodbdG9hgebuigSWAFkYq4SKSUAQces0uR2T2wi5-hrZOc4jvnvhezBjqtb86jKYXPqN0JJgfInNAuTeMV9Q8r7M3yV3WCam67RYX0DuIqg1OLlJBeZDVLhEpKZgKbdxsM-3lVmi9wGon4NK-SrKhv4Fj4R&__tn__=-R,2020-04-01 07:28:50,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/91803231_10157090611968148_2046707342820507648_o.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_eui2=AeGyevs2ecEHOGDOSaymNm7KKHKoxV-OQL4ocqjFX45AvnElIXRGbBP2V4zgoGSg8BVQiDTw0s5femChjcXsohQc&_nc_ohc=mgUZGIVn9bMAX-4n9m0&_nc_ht=scontent.fmnl5-1.fna&oh=c8786acfa4a30bf909a9bce59a6dd208&oe=5EB036E7,"{'Total': '113', 'Like': '100', 'Love': '13'}","{'Roth Schneider': {'text': ""I thought life was so hard, But when I found out about binary, life became easy. Binary option trading is reliable when you invest with the right account manager like Mr Johnny Godfrey he's legit and reliable. I invested with him and got my withdrawal in just 7days. Mr Johnny Godfrey is 100% reliable. If you're interested you can contact him onhttps://www.facebook.com/Johnny.Godfrey.0"", 'post_date': '1585977170'}}",97
"The Emma by AXA app is up! You can now monitor your investments, check your policy, and pay your premiums online! Download the app here: bit.ly/emmaaxa",https://web.facebook.com//AXA.Philippines/photos/a.422772563147/10157084445608148/?type=3&__xts__%5B0%5D=68.ARDFCgkjyI8yJvhFHTDZc1T3yjQVuxKSaSfpCZYBAZEy9QTMtus7GghH1H1bSZLjapeyfG2BOt1_rpi5UWx4ml1pUst7k9flqyi2ZpSOlXE5edfwZOtawZS4tnV8sylm6w5IJM_hrZiJ0bG43P2Mhf28F4QpuVJx9jqfwtLjEtIzQyWl9q5oG9VfKc6bVokFRzSw4ahIlvwse41KykWoBj_z7kta6YIx2My8ZzDhbel24qXP1HvE0ShOhiT3zP2CL9xvlUtsdMYxqLpRVf__JRd4wddMCzmiO6MNmsCVD-kB9Zk2VUuL_dERBCW8vdsGBFjQTxRykv9j9EGMnjvG&__tn__=-R,2020-03-30 11:00:00,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/91593160_10157084445628148_3100754048823853056_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_eui2=AeEtc9nBQ0ygB2ijdgdJQIFfVu-pj8YSucdW76mPxhK5x5lgxc7M7Ht9R40knm8XwLQIwC_EpOn6bxWxs0IB4QZx&_nc_ohc=CTD_BkqVuIYAX-CtS00&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=7&oh=ba72bb5662e5d1d2be7ac76b43ffffb9&oe=5EB0ED08,"{'Total': '237', 'Like': '211', 'Love': '25', 'Wow': '1'}","{'HA IZ': {'text': 'I cant download it im in the Philippines.. where the famous chocolate hills is located u know..', 'post_date': '1585644456'}, 'Elysa Mendoza': {'text': ""Hi ma'am I'm elisa g. Mendoza"", 'post_date': '1585647104'}, 'Randy Dumaoal': {'text': 'I try but not possible...as an international company MUST access where ever you are right,??? Please activate!!! We are waiting.', 'image': 'https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-0/p240x240/91185859_10212993176344172_8758955659770200064_o.jpg?_nc_cat=109&_nc_sid=dbeb18&_nc_eui2=AeHA6on5lBMoAtjSsfEStJXIlsOCSsVL9eaWw4JKxUv15qXcsIa1zbd7dTmuhGEY7T6HvXFMQralSD9A_DOxNSeb&_nc_ohc=pRfhZ6-4zdAAX8Wvi3h&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=6&oh=bd1e51e3a4639c999ae163eba3f875fb&oe=5EB24541', 'post_date': '1585570001'}, 'Louiegie Carlo': {'text': 'Not available in UAE, how convenient', 'post_date': '1585574171'}, 'Mylene Monteza': {'text': 'With Covid-19 contiues to escalate, uncertainties of economy, Please atleast STOP charging us with Admin & COI fees. Yun man lang tulong nyo sa amin. Kayo naman ang mag ""Charge"" Holiday.570k premium to date…See More', 'post_date': '1585715833'}, 'Marilou Peralta': {'text': ""Also here in thailand app can't  download  maam sir"", 'post_date': '1585577094'}, 'Rhecxie Teves': {'text': 'Accessable in South Korea . Thanks', 'post_date': '1585831812'}, 'Roy Raul Mendiola': {'text': 'Loading lang until now', 'image': 'https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-0/p200x200/90926841_10218918795953436_8738310830015119360_o.jpg?_nc_cat=107&_nc_sid=dbeb18&_nc_eui2=AeEuI1SpOjfFdO5BoPTSjBtodPV9BsgVCZl09X0GyBUJmWbH9B0V5Dr2gQkFYI8js3SANNLgRsB4vyvzo0DEwxEg&_nc_ohc=vE3tHOzw7NMAX-LDUDW&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=6&oh=624d7dba8a0f0a5ea5194e402b0c08b8&oe=5EB08D58', 'post_date': '1585569008'}, 'Jerry Paglinawan': {'text': 'Dko kc alm google eh', 'post_date': '1585720955'}, 'Joan Lopez': {'text': 'Bumagsak ang market.  Laki din nabawas .😤', 'post_date': '1585629431'}, 'John Paul Monteza Aquino': {'text': 'Palaging under maintenance yung app 😒', 'post_date': '1585573106'}, 'Roth Schneider': {'text': ""I thought life was so hard, But when I found out about binary, life became easy. Binary option trading is reliable when you invest with the right account manager like Mr Johnny Godfrey he's legit and reliable. I invested with him and got my withdrawal in just 7days. Mr Johnny Godfrey is 100% reliable. If you're interested you can contact him onhttps://www.facebook.com/Johnny.Godfrey.0"", 'post_date': '1585977176'}}",113
